,oci,street,street_from,street_to,oci_desc,COLLISION_DATE,COLLISION_TIME,PRIMARY_RD,SECONDARY_RD,CHP_BEAT_TYPE,WEATHER_1,COLLISION_SEVERITY,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,LIGHTING,ROAD_SURFACE,ROAD_COND_1
404,92.772,GRAPE ST,CHAMPION ST,SULTANA ST,Good,20150301,1306,GRAPE ST,CHAMPION ST,0,B,4,A,05,A,B,H
405,82.814,EL CAJON BL,UTAH ST,KANSAS ST,Good,20150301,0014,EL CAJON BL,KANSAS ST,0,B,3,A,03,C,B,H
406,73.21,DAMON AV,MISSION BAY DR,END,Good,20150301,1336,DAMON AV,MISSION BAY DR,0,C,4,A,05,A,B,H
407,82.98,POLK AV,41ST ST,MARLBOROUGH AV,Good,20150301,1050,POLK AV,MARLBOROUGH AV,0,C,3,A,10,A,B,H
408,78.138,NORTH TORREY PINES RD,JOHN JAY HOPKINS DR,HILTON HOTEL DY,Good,20150303,0658,N TORREY PINES RD,JOHN S HOPKINS,0,A,3,A,08,A,A,H
409,88.792,PASEO DEL SUR,BRISTOL RIDGE LN,REAGAN GLEN,Good,20150303,1010,PASEO DEL SUR,REAGAN GLEN,0,A,4,A,09,A,A,H
410,71.866,S 28TH ST,MAIN ST,HARBOR DR,Good,20150303,1558,S 28TH ST,HARBOR DR,0,A,3,A,05,A,A,H
411,54.098,TORREY PINES RD,CALLE JUELA,TORREY PINES LN,Fair,20150118,0114,TORREY PINES RD,TORREY PINES RD 3400,0,A,3,A,08,C,A,H
412,76.064,BEYER BL,SMYTHE AV,COTTONWOOD RD,Good,20150303,1418,BEYER BL,COTTONWOOD RD,0,A,3,A,03,A,A,H
413,88.128,AERO DR,DALEY CENTER DR,MURPHY CANYON RD,Good,20150304,1855,AERO DR,MURPHY CANYON RD,0,A,4,A,03,C,A,H
