,OBJECTID,COMMON_NAM,DESIG_USE,ACRES,ADDRESS_LO,THOMAS_BRO,COMMUNITY_,USE_RESTRI,DEDIC_PARK,FULL_NAME,SERV_DIST,UNDEVE,PLAYGROUND,TOT_LOT,BASEB_50_6,BASEB_90,SOFTBALL,MULTIPURP,F_2_BASLET,BASKETB,TENNISCT,SAND_VBALL,FIELD_LIGH,COMFORT_ST,CONCESS_ST,USEABLE_AC,GROSS_ACRE,MAINT_ENT,RECY_WATER,PLAYAREACO,CD,DMS,X_COORD,Y_COORD,YEARACQ,SHAPE_STAR,SHAPE_STLE
44,4026,SOUTH CLAIREMONT CP,Community Park,9.77992736,"3577 CLAIREMONT DR, 92117",1248E5,CLAIREMONT MESA,DEDIC PK/OS--ORD.,Y,South Clairemont Community Park,44.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CP1,N,1.0,2,32 48 21.10185N 117 11 57.55703W,-117.1993214,32.80586162,NA,426011.938476563,2827.75995769761
45,4027,KEARNY MESA CP,Community Park,69.81311787,"3170 Armstrong Street, 92111",1248J5,LINDA VISTA,DEDIC PK/OS--ORD.,Y,Kearny Mesa Community Park,45.0,0.0,1.0,1.0,4.0,0.0,2.0,2.0,,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,CP1,N,1.0,7,32 48 03.22427N 117 10 06.97061W,-117.16860295,32.80089563,1874-1948,3041047.25,7855.33641460245
46,4028,LINDA VISTA CP,Community Park,15.88096756,"6842 OSLER ST, 92111",1248J6,LINDA VISTA,DEDIC PK/OS--ORD.,Y,Linda Vista Community Park,45.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,CP1,N,1.0,7,32 47 32.81342N 117 10 14.18711W,-117.17060753,32.79244817,1955-1977,691772.185546875,5043.97786470805
47,4029,CANYON HILLS PARK,Regional Park,54.59387777,"12300 Alemania Rd,92129",1189F6,MIRA MESA,NONE,N,Canyon Hills Park,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CP1,N,0.0,6,32 56 06.83447N 117 06 56.31689W,-117.11564358,32.9352318,1989,2378099.79492188,7474.59308013347
48,4030,TORREY PINES CITY PARK,Regional Park,464.19008128,"12001 TORREY PINES PARK RD, 92037",1207J5,UNIVERSITY,DEDIC PK/OS--ORD.,Y,Torrey Pines City Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRP,N,0.0,1,32 53 57.11645N 117 14 53.84285W,-117.24828968,32.89919901,1874-1985,20220039.0527344,44242.5865837153
49,4031,CHARLOTTE PARK,Regional Park,0.1604461,"7962 PRINCESS ST, 92037",1227G5,LA JOLLA,SEE L1203 ENTRIES,Y,Charlotte Park,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRP,N,0.0,1,32 50 58.56949N 117 15 49.96878W,-117.26388022,32.84960264,1955,6989.0009765625,412.64670139657
50,4032,HICKMAN FIELD PARK,Regional Park,46.51240649,"6660 Hickman Field Drive, 92111",1228J7,KEARNY MESA,SEE L1203 ENTRIES,N,Hickman Field Athletic Area,45.0,0.0,0.0,0.0,5.0,1.0,4.0,4.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,CP1,N,0.0,6,32 50 14.42526N 117 09 55.78319W,-117.16549533,32.83734035,2001,2026072.32128906,6929.71834677156
51,4033,HERMOSA TERRACE PARK,Regional Park,0.99359978,"6500 NEPTUNE PL, 92037",1247E1,LA JOLLA,DEDIC PK/OS--ORD.,Y,Hermosa Terrace Park,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRP,N,0.0,1,32 49 32.58876N 117 16 47.39100W,-117.27983083,32.8257191,1946,43281.0341796875,1003.01286554446
52,4034,LA JOLLA HERMOSA PARK,Regional Park,0.34912197,"5788 CHELSEA ST, 92037",1247F3,LA JOLLA,DEDIC PK/OS--ORD.,Y,La Jolla Hermosa Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRP,N,0.0,1,32 49 01.45193N 117 16 21.90329W,-117.27275091,32.81706998,1947,15207.6923828125,633.39515097127
53,4035,MISSION BEACH PARK,Regional Park,49.78304084,"804 W MISSION BAY DR, 92109",1247H7,MISSION BEACH,DEDIC PK/OS--ORD.,Y,Mission Beach Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0,DRP,N,0.0,2,32 46 05.57993N 117 15 08.76998W,-117.2524361,32.76821665,1924-1967,2168540.609375,26611.7676347628
