"OBJECTID","STOP_UID","STOP_AGENCY","STOP_ID","STOP_NAME","STOP_LAT","STOP_LON","STOP_CODE","LOCATION_TYPE","PARENT_STATION","WHEELCHAIR_BOARDING","INTERSECTION_CODE","STOP_PLACE","LONGITUDE","LATITUDE"
3495,MTS_60108,MTS,60108,2nd St & Soledad Pl,32.69543451,-117.16836713,60108,0,,1,N-W/B,,-117.168355229109,32.6954297490748
3496,MTS_60119,MTS,60119,National Av & 16th St,32.70412961,-117.14988913,60119,0,,1,N-W/B,,-117.149877230779,32.7041248462779
3497,MTS_60123,MTS,60123,National Av & Cesar E Chavez Pkwy,32.70055566,-117.14472309,60123,0,,1,N-W/B,natces,-117.144711194523,32.7005508953148
3498,MTS_60130,MTS,60130,Imperial Beach Bl & 3rd St,32.57673494,-117.12725062,60130,0,,1,N-W/B,,-117.12723873667,32.5767301885465
3499,MTS_60131,MTS,60131,Imperial Beach Bl & 4th St,32.57671807,-117.12459839,60131,0,,1,N-W/B,imp4th,-117.12458650444,32.5767133252862
3500,MTS_60132,MTS,60132,Palm Av & 5th St,32.58401924,-117.1221061,60132,0,,1,N-W/B,,-117.122094211264,32.5840144916578
3501,MTS_60133,MTS,60133,Palm Av & Rainbow Dr,32.5840119,-117.1204244,60133,0,,1,N-W/B,,-117.120412518696,32.5840071504378
3502,MTS_60134,MTS,60134,Imperial Beach Bl & Connecticut St,32.57667863,-117.1185213,60134,0,,1,N-W/B,,-117.118509416066,32.5766738811078
3503,MTS_60135,MTS,60135,Silver Strand Bl & 7th St,32.58453234,-117.11755973,60135,0,,1,N-W/B,,-117.117547844573,32.5845275890494
3504,MTS_60137,MTS,60137,Imperial Beach Bl & Emory St,32.57665512,-117.11287286,60137,0,,0,N-W/B,,-117.112860976516,32.5766503763451
3505,MTS_60138,MTS,60138,Palm Av & Emory St,32.58406783,-117.11286741,60138,0,,1,N-W/B,,-117.112855522384,32.584063079097
