,Neighborhood,Unnamed: 0.1.1.1,closed,closed_date,coordinates,duplicate_verified,lat,long,mobile_web_status,open,override_duplicate,requested_datetime,sap_problem_type,service_name,status_description,Duration to Close (Hrs),Neighborhood Prices
15169,Redwood Village-Rolando Park,1440.0,1.0,2017-04-05 00:02:00,32.750295-117.05303100000003,0.0,32.750295,-117.053031,Closed,0.0,0.0,2017-03-30 13:28:00,Pothole,Pothole,Closed,130.56666666666666,0.0
15182,Fox Canyon,1562.0,1.0,2017-04-18 00:02:00,32.745904-117.09214700000001,0.0,32.745903999999996,-117.092147,Closed,0.0,0.0,2017-03-28 16:28:00,Pothole,Pothole,Closed,487.56666666666666,0.0
15185,Fox Canyon,1599.0,1.0,2017-04-18 00:02:00,32.74506040371832-117.08898157672121,0.0,32.7450604037,-117.08898157700001,Closed,0.0,1.0,2017-03-28 06:36:00,Pothole,Pothole,Closed,497.4333333333333,0.0
15191,Fairmont Village,1644.0,1.0,2017-04-06 00:03:00,32.749558-117.09603,1.0,32.749558,-117.09603,Closed,0.0,0.0,2017-03-27 10:11:00,Pothole,Pothole,Closed,229.86666666666667,0.0
15204,City Heights,1756.0,1.0,2017-04-19 00:04:00,32.73863-117.101076,0.0,32.73863,-117.101076,Closed,0.0,0.0,2017-03-24 19:33:00,Pothole,Pothole,Closed,604.5166666666668,0.0
15215,Fairmont Village,1836.0,1.0,2017-04-18 00:02:00,32.74957269956874-117.09551539923027,0.0,32.7495726996,-117.09551539899999,Closed,0.0,1.0,2017-03-23 16:49:00,Pothole,Pothole,Closed,607.2166666666667,0.0
15217,Redwood Village-Rolando Park,1878.0,1.0,2017-04-08 00:03:00,32.74649163852011-117.053229384486,0.0,32.7464916385,-117.05322938399999,Closed,0.0,0.0,2017-03-23 07:50:00,Pothole,Pothole,Closed,376.2166666666666,0.0
15230,City Heights,2006.0,1.0,2017-04-19 00:04:00,32.7385169137611-117.1010582208163,0.0,32.7385169138,-117.101058221,Closed,0.0,0.0,2017-03-21 15:35:00,Pothole,Pothole,Closed,680.4833333333332,0.0
15241,City Heights,2152.0,1.0,2017-04-18 00:02:00,32.743285-117.115658,0.0,32.743285,-117.11565800000001,Closed,0.0,0.0,2017-03-20 08:31:00,Pothole,Pothole,Closed,687.5166666666668,0.0
15252,Redwood Village-Rolando Park,2232.0,1.0,2017-03-31 00:03:00,32.747805-117.05307,0.0,32.747805,-117.05306999999999,Closed,0.0,0.0,2017-03-18 08:54:00,Pothole,Pothole,Closed,303.15,0.0
15257,Fairmont Park,2286.0,1.0,2017-04-19 00:04:00,32.72488893825298-117.10817425626259,0.0,32.7248889383,-117.108174256,Closed,0.0,0.0,2017-03-17 10:25:00,Pothole,Pothole,Closed,781.65,0.0
15267,Bird Rock,2401.0,1.0,2017-05-17 00:02:00,32.80811141810312-117.26699703254546,0.0,32.8081114181,-117.266997033,Closed,0.0,0.0,2017-03-15 17:17:00,Pothole,Pothole,Closed,1494.75,0.0
