,status_description,mobile_web_status,duplicate_verified,override_duplicate,requested_datetime,closed_date,open,closed,service_name,coordinates,lat,long,sap_problem_type
49702,Assigned,In process,0,0,2017-01-21T10:06:00,,1,0,Pothole,32.757478-117.079311,32.757478000000006,-117.079311,Pothole
49768,Assigned,In process,0,0,2017-01-21T08:28:00,,1,0,Pothole,32.9422401-117.2131871,32.9422401,-117.2131871,Pothole
49790,Assigned,In process,0,0,2017-01-21T07:11:00,,1,0,Pothole,32.9555878-117.2298195,32.9555878,-117.2298195,Pothole
49820,Assigned,In process,0,1,2017-01-20T23:23:00,,1,0,Pothole,32.747336-117.1596,32.747336,-117.1596,Pothole
49836,Assigned,In process,0,0,2017-01-20T21:58:00,,1,0,Pothole,32.84959309952517-117.2614172987072,32.8495930995,-117.261417299,Pothole
49853,Assigned,In process,0,0,2017-01-20T21:03:00,,1,0,Pothole,32.92348-117.1365122,32.92348,-117.1365122,Pothole
49893,Assigned,In process,0,1,2017-01-20T19:08:00,,1,0,Pothole,32.82272710000001-117.1494888,32.8227271,-117.1494888,Pothole
49970,Assigned,In process,0,0,2017-01-20T17:19:00,,1,0,Pothole,32.95774691275597-117.2102966533203,32.957746912800005,-117.21029665299999,Pothole
50007,Assigned,In process,0,1,2017-01-20T16:47:00,,1,0,Pothole,32.737536-117.177345,32.737536,-117.17734499999999,Pothole
50053,Assigned,In process,0,0,2017-01-20T16:05:00,,1,0,Pothole,32.9053333-117.1460647,32.905333299999995,-117.14606470000001,Pothole
50067,Assigned,In process,0,1,2017-01-20T15:57:00,,1,0,Pothole,32.834409-117.175595,32.834409,-117.175595,Pothole
50135,Assigned,In process,0,1,2017-01-20T15:24:00,,1,0,Pothole,32.75324240996797-117.224773087338,32.75324241,-117.224773087,Pothole
50249,Assigned,In process,0,0,2017-01-20T14:00:00,,1,0,Pothole,32.825445-117.16273,32.825445,-117.16273000000001,Pothole
50253,Assigned,In process,0,1,2017-01-20T13:56:00,,1,0,Pothole,32.79116301647132-117.16445712966919,32.7911630165,-117.16445713,Pothole
50263,Assigned,In process,0,0,2017-01-20T13:46:00,,1,0,Pothole,32.78449710520967-117.16657607803798,32.784497105199996,-117.16657607799999,Pothole
50289,Assigned,In process,0,0,2017-01-20T13:13:00,,1,0,Pothole,33.040074-117.065035,33.040074,-117.06503500000001,Pothole
50321,Assigned,In process,0,0,2017-01-20T11:56:00,,1,0,Pothole,32.92612232778909-117.1408699319423,32.9261223278,-117.140869932,Pothole
50326,Assigned,In process,0,0,2017-01-20T11:40:00,,1,0,Pothole,32.73162993532368-117.16387777252197,32.7316299353,-117.163877773,Pothole
50364,Assigned,In process,0,0,2017-01-20T09:45:00,,1,0,Pothole,32.92422093454091-117.1365241707462,32.9242209345,-117.136524171,Pothole
50401,Assigned,In process,0,0,2017-01-20T07:55:00,,1,0,Pothole,32.7643045-117.2342164,32.7643045,-117.23421640000001,Pothole
50411,Assigned,In process,0,0,2017-01-20T07:39:00,,1,0,Pothole,32.801212-117.185136,32.801212,-117.18513600000001,Pothole
